,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Unnamed: 0,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin
77,False,False,True,False,False,True,77,8.0,False,0.0,0.0,0.0,0.0,0.0,True,5
78,True,False,False,False,False,True,78,24.0,False,688.0,0.0,0.0,0.0,17.0,True,6
79,False,True,False,False,False,True,79,40.0,False,0.0,0.0,0.0,0.0,0.0,True,5
80,True,False,False,False,False,True,80,43.0,False,211.0,0.0,0.0,638.0,513.0,False,6
81,False,False,True,False,True,False,81,45.0,False,0.0,0.0,0.0,0.0,0.0,True,6
82,True,False,False,False,False,True,82,35.0,False,0.0,0.0,0.0,0.0,0.0,True,5
84,True,False,False,False,False,True,84,27.0,False,1.0,697.0,31.0,188.0,0.0,False,6
85,True,False,False,False,False,True,85,19.0,False,0.0,0.0,670.0,1.0,34.0,False,6
87,True,False,False,False,False,True,87,3.0,False,0.0,0.0,0.0,0.0,0.0,True,1
88,False,True,False,False,False,True,88,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,1
89,True,False,False,False,False,True,89,26.0,False,0.0,856.0,5.0,32.0,0.0,False,1
90,True,False,False,False,False,True,90,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,4
91,True,False,False,False,True,False,91,23.0,False,311.0,427.0,526.0,37.0,0.0,False,1
92,True,False,False,False,False,True,92,2.0,False,0.0,0.0,0.0,0.0,0.0,True,5
94,True,False,False,False,False,True,94,18.0,False,0.0,0.0,0.0,830.0,91.0,False,3
96,True,False,False,True,False,False,96,9.0,False,0.0,0.0,0.0,0.0,0.0,True,0
97,True,False,False,False,False,True,97,6.0,False,0.0,0.0,0.0,0.0,0.0,False,6
98,True,False,False,False,False,True,98,27.0,False,0.0,0.0,570.0,2.0,131.0,False,5
99,False,False,True,False,False,True,99,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,5
100,True,False,False,False,False,True,100,23.0,False,0.0,0.0,0.0,0.0,0.0,False,4
101,True,False,False,False,False,True,101,31.0,False,562.0,0.0,326.0,0.0,0.0,False,3
102,True,False,False,False,False,True,102,0.0,True,0.0,0.0,0.0,0.0,0.0,True,4
104,False,True,False,False,False,True,104,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,3
105,False,True,False,False,False,True,105,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,6
106,False,True,False,False,False,True,106,28.0,False,0.0,0.0,0.0,0.0,0.0,True,6
107,False,True,False,False,False,True,107,29.0,False,0.0,0.0,0.0,0.0,0.0,True,6
108,False,True,False,True,False,False,108,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,4
109,True,False,False,False,False,True,109,64.0,False,0.0,0.0,804.0,0.0,0.0,True,2
110,True,False,False,False,False,True,110,27.0,False,82.0,157.0,429.0,238.0,1.0,False,6
112,False,True,False,False,False,True,112,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,5
113,True,False,False,False,False,True,113,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,6
114,False,True,False,False,False,True,114,13.0,False,0.0,0.0,0.0,0.0,0.0,True,6
116,True,False,False,False,False,True,116,29.0,False,0.0,0.0,0.0,699.0,74.0,False,6
117,True,False,False,False,False,True,117,18.0,False,55.0,597.0,49.0,0.0,1.0,False,6
118,False,False,True,False,False,True,118,67.0,False,0.0,0.0,0.0,0.0,0.0,True,5
119,False,False,True,False,False,True,119,35.0,False,701.0,0.0,296.0,0.0,25.0,False,6
120,False,False,True,False,False,True,120,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,1
121,False,False,True,False,False,True,121,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,1
123,False,False,True,False,False,True,123,19.0,False,0.0,0.0,0.0,0.0,0.0,True,5
124,False,False,True,False,False,True,124,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,5
125,True,False,False,False,False,True,125,19.0,False,0.0,14.0,730.0,0.0,0.0,True,5
126,True,False,False,False,True,False,126,47.0,False,97.0,418.0,126.0,25.0,55.0,False,6
127,True,False,False,False,False,True,127,13.0,False,0.0,0.0,0.0,0.0,0.0,True,4
128,True,False,False,False,False,True,128,34.0,False,0.0,22.0,0.0,564.0,207.0,False,6
129,False,True,False,True,False,False,129,35.0,False,0.0,0.0,0.0,0.0,0.0,True,6
130,True,False,False,False,False,True,130,24.0,False,0.0,0.0,0.0,0.0,0.0,True,4
131,True,False,False,False,False,True,131,26.0,False,440.0,0.0,0.0,0.0,462.0,False,5
133,True,False,False,False,False,True,133,20.0,False,0.0,420.0,210.0,0.0,0.0,True,6
134,True,False,False,False,False,True,134,56.0,False,0.0,0.0,0.0,0.0,0.0,False,6
135,True,False,False,False,False,True,135,50.0,False,0.0,0.0,0.0,0.0,0.0,True,6
136,False,False,True,False,False,True,136,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,6
137,True,False,False,True,False,False,137,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,True,2
138,True,False,False,True,False,False,138,38.0,False,0.0,0.0,0.0,0.0,0.0,False,5
139,True,False,False,False,False,True,139,41.0,False,0.0,0.0,0.0,0.0,607.0,False,6
140,True,False,False,False,False,True,140,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,6
141,False,True,False,False,False,True,141,26.0,False,0.0,0.0,0.0,0.0,0.0,True,4
142,False,True,False,False,False,True,142,17.0,False,0.0,0.0,0.0,0.0,0.0,True,6
144,True,False,False,False,True,False,144,17.0,False,0.0,0.0,0.0,0.0,0.0,False,6
145,False,False,True,False,False,True,145,35.0,True,0.0,0.0,0.0,0.0,0.0,True,6
146,False,False,True,False,False,True,146,13.0,False,0.0,0.0,0.0,0.0,0.0,True,5
147,False,False,True,False,False,True,147,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,5
148,True,False,False,False,False,True,148,31.0,False,0.0,0.0,0.0,0.0,0.0,False,5
149,True,False,False,False,False,True,149,24.0,False,0.0,0.0,0.0,221.0,567.0,False,3
150,True,False,False,False,True,False,150,19.0,False,0.0,0.0,0.0,0.0,0.0,True,2
151,True,False,False,False,False,True,151,32.0,False,0.0,0.0,0.0,0.0,0.0,True,6
152,True,False,False,False,False,True,152,58.0,False,0.0,985.0,0.0,5.0,0.0,True,6
153,True,False,False,True,False,False,153,21.0,False,287.0,0.0,16.0,115.0,175.0,False,6
155,False,False,True,False,False,True,155,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,1
156,True,False,False,False,False,True,156,19.0,False,1.0,219.0,673.0,2.0,11.0,True,1
157,True,False,False,False,False,True,157,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2
158,True,False,False,False,False,True,158,3.0,False,0.0,0.0,0.0,0.0,0.0,True,6
159,True,False,False,False,False,True,159,20.0,False,0.0,0.0,3.0,299.0,92.0,False,2
160,False,True,False,False,False,True,160,24.0,False,0.0,0.0,0.0,0.0,0.0,True,6
161,True,False,False,False,False,True,161,37.0,False,17.0,146.0,426.0,0.0,232.0,True,5
162,True,False,False,False,False,True,162,25.0,False,62.0,0.0,0.0,0.0,956.0,False,5
163,True,False,False,False,False,True,163,56.0,False,0.0,0.0,0.0,0.0,0.0,True,5
164,True,False,False,True,False,False,164,49.0,False,84.0,3.0,401.0,202.0,98.0,False,4
165,True,False,False,True,False,False,165,11.0,False,0.0,0.0,0.0,0.0,0.0,False,5
166,True,False,False,False,False,True,166,1.0,False,0.0,0.0,0.0,0.0,0.0,True,5
167,True,False,False,False,False,True,167,8.0,False,0.0,0.0,0.0,0.0,0.0,False,5
168,True,False,False,False,False,True,168,39.0,False,0.0,0.0,10.0,898.0,0.0,False,5
169,False,False,True,False,False,True,169,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6
171,False,False,True,False,False,True,171,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6
172,False,False,True,False,False,True,172,39.0,False,406.0,0.0,867.0,0.0,0.0,True,6
173,False,False,True,False,True,False,173,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,5
174,False,True,False,False,False,True,174,36.0,False,0.0,972.0,0.0,795.0,575.0,False,6
175,True,False,False,False,True,False,175,52.0,False,0.0,0.0,0.0,0.0,0.0,True,6
176,True,False,False,False,False,True,176,18.0,False,0.0,0.0,0.0,0.0,0.0,False,4
177,True,False,False,False,False,True,177,15.0,False,0.0,0.0,0.0,0.0,0.0,True,4
178,False,True,False,False,False,True,178,35.0,False,0.0,0.0,0.0,0.0,0.0,True,4
179,False,True,False,False,False,True,179,47.0,False,0.0,0.0,0.0,0.0,0.0,True,4
180,False,True,False,True,False,False,180,45.0,False,0.0,0.0,0.0,0.0,0.0,True,4
182,False,True,False,False,False,True,182,51.0,False,0.0,0.0,0.0,0.0,0.0,True,4
183,True,False,False,False,False,True,183,29.0,False,0.0,2.0,66.0,0.0,705.0,False,5
184,False,True,False,True,False,False,184,28.82793046746535,False,2.0,1720.0,12.0,1125.0,122.0,True,5
185,True,False,False,False,True,False,185,19.0,False,0.0,0.0,0.0,0.0,0.0,False,4
187,False,False,True,False,False,True,187,29.0,False,902.0,1.0,137.0,0.0,0.0,True,5
188,False,False,True,False,False,True,188,11.0,False,0.0,0.0,0.0,0.0,0.0,True,6
189,False,False,True,False,False,True,189,17.0,False,848.0,0.0,307.0,182.0,0.0,False,5
190,True,False,False,False,False,True,190,13.0,False,192.0,0.0,0.0,51.0,739.0,False,5
191,True,False,False,False,False,True,191,35.0,False,147.0,188.0,0.0,10.0,387.0,False,5
192,True,False,False,False,False,True,192,21.0,False,367.0,281.0,0.0,0.0,146.0,False,1
193,True,False,False,True,False,False,193,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,5
194,True,False,False,False,False,True,194,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,4
195,True,False,False,False,False,True,195,19.0,False,0.0,0.0,0.0,0.0,0.0,True,5
196,True,False,False,False,False,True,196,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6
197,True,False,False,False,False,True,197,0.0,False,0.0,0.0,0.0,0.0,0.0,True,5
198,True,False,False,False,False,True,198,13.0,False,0.0,0.0,0.0,0.0,0.0,False,2
200,True,False,False,False,False,True,200,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,3
201,True,False,False,True,False,False,201,1.0,False,0.0,0.0,0.0,0.0,0.0,False,2
202,True,False,False,False,False,True,202,15.0,False,0.0,0.0,0.0,0.0,0.0,True,2
203,False,False,True,True,False,False,203,21.0,False,2237.0,0.0,119.0,0.0,0.0,False,5
204,False,False,True,False,False,True,204,23.0,False,1215.0,80.0,1.0,2.0,0.0,False,6
205,False,False,True,False,False,True,205,33.0,False,1933.0,12.0,188.0,1.0,0.0,False,5
206,False,False,True,False,False,True,206,21.0,False,0.0,0.0,0.0,0.0,0.0,True,0
207,False,False,True,False,False,True,207,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False,5
208,False,False,True,False,False,True,208,16.0,False,915.0,0.0,221.0,234.0,0.0,False,5
209,False,False,True,False,False,True,209,42.0,False,0.0,0.0,0.0,0.0,0.0,False,4
210,False,False,True,False,False,True,210,20.0,False,1406.0,0.0,0.0,11.0,0.0,False,5
211,False,False,True,False,False,True,211,24.0,False,0.0,0.0,0.0,0.0,0.0,True,6
212,False,False,True,False,False,True,212,16.0,False,0.0,0.0,0.0,0.0,0.0,True,5
213,True,False,False,False,False,True,213,21.0,False,0.0,2.0,665.0,0.0,9.0,False,5
214,False,False,True,False,False,True,214,32.0,True,181.0,0.0,5.0,1634.0,0.0,False,5
215,True,False,False,False,True,False,215,58.0,False,0.0,0.0,0.0,0.0,0.0,True,3
216,True,False,False,False,False,True,216,24.0,False,4.0,7.0,0.0,713.0,79.0,False,5
217,False,False,True,False,False,True,217,30.0,False,85.0,0.0,1.0,1720.0,0.0,False,6
219,False,False,True,False,False,True,219,32.0,False,56.0,0.0,256.0,1438.0,0.0,False,5
221,False,True,False,False,False,True,221,42.0,False,0.0,0.0,0.0,0.0,0.0,True,5
223,False,False,True,False,False,True,223,35.0,False,0.0,0.0,0.0,0.0,0.0,True,4
224,False,True,False,True,False,False,224,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,False,5
225,True,False,False,False,False,True,225,18.0,False,313.0,1.0,691.0,283.0,0.0,False,1
226,True,False,False,False,False,True,226,21.0,False,0.0,0.0,0.0,0.0,0.0,False,5
228,False,False,True,True,False,False,228,14.0,True,0.0,0.0,0.0,0.0,0.0,True,1
229,False,True,False,True,False,False,229,46.0,False,0.0,3571.0,0.0,0.0,7.0,True,1
230,False,True,False,False,False,True,230,33.0,False,0.0,86.0,796.0,584.0,10912.0,False,1
231,False,False,True,False,False,True,231,21.0,False,2947.0,0.0,287.0,27.0,0.0,False,1
232,False,True,False,False,False,True,232,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False,3
234,True,False,False,True,False,False,234,54.0,False,0.0,0.0,0.0,0.0,0.0,True,0
235,True,False,False,False,False,True,235,30.0,False,335.0,695.0,541.0,0.0,0.0,False,5
236,True,False,False,False,False,True,236,29.0,False,272.0,615.0,0.0,0.0,1.0,False,6
237,True,False,False,False,False,True,237,21.0,False,702.0,172.0,408.0,2.0,6.0,True,4
238,False,True,False,False,False,True,238,24.0,False,0.0,0.0,0.0,0.0,0.0,True,2
240,False,False,True,False,False,True,240,60.0,False,0.0,0.0,0.0,0.0,0.0,True,5
241,True,False,False,False,False,True,241,22.0,False,0.0,0.0,313.0,299.0,92.0,False,5
242,False,True,False,False,False,True,242,26.0,False,0.0,4810.0,0.0,981.0,2054.0,False,5
243,True,False,False,False,False,True,243,26.0,False,66.0,29.0,0.0,0.0,803.0,False,5
244,True,False,False,False,False,True,244,28.0,False,0.0,0.0,0.0,0.0,0.0,True,6
246,True,False,False,False,False,True,246,13.0,False,118.0,0.0,0.0,754.0,1.0,False,6
247,True,False,False,True,False,False,247,47.0,False,0.0,231.0,592.0,0.0,0.0,True,5
248,True,False,False,False,False,True,248,63.0,False,0.0,25.0,128.0,0.0,1240.0,False,6
249,False,True,False,True,False,False,249,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,True,6
250,True,False,False,True,False,False,250,50.0,False,44.0,2390.0,0.0,53.0,0.0,True,6
252,True,False,False,False,False,True,252,45.0,False,0.0,97.0,0.0,14.0,333.0,False,2
253,True,False,False,False,False,True,253,19.0,False,0.0,0.0,2078.0,0.0,0.0,True,2
254,True,False,False,False,False,True,254,21.0,False,0.0,918.0,0.0,0.0,0.0,True,5
255,True,False,False,False,True,False,255,29.0,False,0.0,0.0,0.0,0.0,0.0,True,5
256,True,False,False,False,False,True,256,22.0,False,146.0,654.0,1.0,0.0,2.0,True,5
257,False,True,False,False,False,True,257,14.0,False,0.0,0.0,0.0,0.0,0.0,True,5
258,False,True,False,True,False,False,258,42.0,False,0.0,0.0,0.0,0.0,0.0,True,5
259,True,False,False,True,False,False,259,57.0,False,3.0,1281.0,29.0,162.0,13.0,False,5
261,False,True,False,False,False,True,261,28.0,False,0.0,587.0,32.0,6.0,1460.0,False,6
262,True,False,False,True,False,False,262,19.0,False,0.0,0.0,0.0,0.0,828.0,False,5
263,False,True,False,True,False,False,263,19.0,False,0.0,0.0,0.0,0.0,0.0,True,4
264,False,True,False,True,False,False,264,26.0,False,0.0,4458.0,0.0,1157.0,262.0,True,6
265,False,True,False,False,False,True,265,17.0,False,0.0,0.0,0.0,0.0,0.0,True,5
266,False,True,False,False,False,True,266,43.0,False,0.0,0.0,0.0,0.0,0.0,True,3
267,False,True,False,True,False,False,267,9.0,False,0.0,0.0,0.0,0.0,0.0,True,6
268,False,True,False,False,False,True,268,40.0,False,0.0,6500.0,88.0,1090.0,0.0,True,5
270,True,False,False,False,False,True,270,24.0,False,90.0,2.0,1324.0,17.0,0.0,True,6
271,False,True,False,True,False,False,271,57.0,False,0.0,0.0,0.0,0.0,0.0,True,6
273,True,False,False,False,False,True,273,23.0,False,0.0,0.0,15.0,0.0,1370.0,False,5
274,True,False,False,False,False,True,274,23.0,False,0.0,0.0,0.0,0.0,0.0,True,5
275,False,True,False,False,False,True,275,28.0,False,0.0,422.0,0.0,1851.0,5166.0,False,6
276,False,True,False,True,False,False,276,23.0,False,0.0,584.0,0.0,20.0,2469.0,False,5
277,True,False,False,False,False,True,277,23.0,False,368.0,175.0,259.0,1.0,101.0,False,5
278,True,False,False,False,False,True,278,18.0,False,0.0,0.0,1359.0,0.0,0.0,True,6
279,True,False,False,False,False,True,279,18.0,False,1194.0,0.0,157.0,6.0,0.0,False,5
281,True,False,False,False,True,False,281,60.0,False,7.0,540.0,1.0,0.0,4.0,True,5
283,True,False,False,True,False,False,283,49.0,False,331.0,0.0,0.0,318.0,0.0,True,4
284,True,False,False,True,False,False,284,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6
285,True,False,False,True,False,False,285,26.0,False,386.0,0.0,74.0,0.0,1330.0,False,2
286,True,False,False,False,True,False,286,35.0,False,0.0,0.0,0.0,0.0,0.0,True,1
291,True,False,False,False,False,True,291,59.0,True,1018.0,0.0,209.0,0.0,0.0,False,1
292,True,False,False,False,True,False,292,13.0,False,0.0,0.0,0.0,0.0,0.0,False,6
293,True,False,False,True,False,False,293,43.0,False,0.0,0.0,0.0,0.0,0.0,False,1
294,True,False,False,False,False,True,294,29.0,False,0.0,0.0,0.0,0.0,0.0,False,6
296,False,True,False,False,False,True,296,2.0,False,0.0,0.0,0.0,0.0,0.0,True,6
297,False,True,False,False,False,True,297,32.0,False,247.0,4651.0,0.0,46.0,202.0,True,6
298,False,True,False,False,False,True,298,33.0,False,443.0,317.0,0.0,148.0,1260.0,False,6
299,True,False,False,False,False,True,299,25.0,False,0.0,0.0,251.0,0.0,552.0,False,6
300,False,False,True,True,False,False,300,29.0,False,0.0,0.0,0.0,0.0,0.0,True,6
302,True,False,False,False,False,True,302,44.0,False,695.0,1.0,16.0,0.0,0.0,False,4
303,False,False,True,True,False,False,303,2.0,False,0.0,0.0,0.0,0.0,0.0,True,2
304,False,False,True,False,False,True,304,19.0,False,417.0,349.0,634.0,3.0,1057.0,True,4
305,False,False,True,True,False,False,305,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1
307,False,True,False,True,False,False,307,38.0,False,0.0,0.0,0.0,0.0,0.0,True,6
308,True,False,False,False,True,False,308,5.0,False,0.0,0.0,0.0,0.0,0.0,False,5
309,True,False,False,False,True,False,309,31.0,False,121.0,0.0,0.0,274.0,907.0,False,3
310,False,False,True,False,False,True,310,30.0,False,0.0,0.0,0.0,0.0,0.0,False,3
311,True,False,False,True,False,False,311,15.0,False,0.0,0.0,0.0,0.0,0.0,True,3
312,False,False,True,False,False,True,312,27.0,False,434.0,0.0,1434.0,0.0,0.0,False,3
313,False,False,True,False,False,True,313,22.0,False,142.0,2876.0,202.0,3.0,0.0,True,3
315,True,False,False,False,True,False,315,14.0,False,0.0,0.0,0.0,0.0,0.0,True,6
316,False,False,True,False,False,True,316,23.0,False,2001.0,0.0,2975.0,0.0,0.0,False,4
318,False,True,False,True,False,False,318,36.0,False,0.0,0.0,0.0,0.0,0.0,True,5
320,True,False,False,False,False,True,320,50.0,False,0.0,0.0,0.0,0.0,0.0,True,5
321,True,False,False,False,True,False,321,32.0,False,0.0,0.0,0.0,0.0,0.0,True,6
322,True,False,False,False,True,False,322,26.0,False,148.0,0.0,453.0,0.0,88.0,False,1
323,True,False,False,False,False,True,323,15.0,False,358.0,212.0,33.0,0.0,112.0,False,1
324,True,False,False,True,False,False,324,33.0,False,0.0,36.0,0.0,280.0,417.0,True,1
325,True,False,False,True,False,False,325,28.82793046746535,False,0.0,0.0,0.0,685.0,21.0,False,1
326,False,False,True,False,False,True,326,26.0,False,2832.0,107.0,4447.0,15.0,4.0,False,5
327,False,False,True,False,False,True,327,61.0,False,0.0,0.0,0.0,0.0,0.0,True,5
328,True,False,False,False,False,True,328,24.0,False,0.0,0.0,592.0,177.0,58.0,True,5
329,True,False,False,False,False,True,329,30.0,False,0.0,95.0,0.0,441.0,1023.0,False,2
330,False,False,True,False,False,True,330,24.0,False,0.0,0.0,0.0,0.0,0.0,True,0
331,True,False,False,False,False,True,331,24.0,False,0.0,5.0,0.0,2766.0,0.0,False,0
332,True,False,False,False,False,True,332,41.0,False,0.0,0.0,0.0,0.0,0.0,False,5
333,True,False,False,False,False,True,333,20.0,False,0.0,0.0,558.0,0.0,230.0,False,5
334,True,False,False,False,False,True,334,22.0,False,116.0,0.0,786.0,6.0,0.0,True,5
335,False,True,False,True,False,False,335,63.0,False,0.0,1068.0,0.0,176.0,8188.0,False,1
336,False,True,False,True,False,False,336,18.0,False,17.0,215.0,4.0,5132.0,697.0,False,1
337,False,True,False,True,False,False,337,21.0,False,0.0,0.0,0.0,0.0,0.0,True,5
339,False,True,False,False,False,True,339,56.0,False,0.0,0.0,0.0,0.0,0.0,True,6
340,False,True,False,False,False,True,340,13.0,False,0.0,0.0,0.0,0.0,0.0,True,6
341,False,True,False,False,False,True,341,33.0,False,0.0,2491.0,6.0,1173.0,1059.0,False,5
342,False,True,False,False,False,True,342,32.0,False,0.0,0.0,0.0,0.0,0.0,True,5
343,True,False,False,False,False,True,343,31.0,False,198.0,0.0,591.0,0.0,164.0,True,5
345,False,True,False,True,False,False,345,18.0,False,0.0,0.0,0.0,0.0,0.0,True,3
347,True,False,False,False,False,True,347,23.0,False,348.0,0.0,0.0,4.0,368.0,False,5
